TEST_MODE=uart_recv
================================================================
UART receive debug - monitoring S3CAM attitude frames
RX=GPIO22 TX=GPIO23 baud=115200
Format: UART_RECV,seq,pitch,roll,yaw
Packet loss: UART_LOST,start,end
================================================================
UART(2) ready.

UART_RECV,146,-0.01,0.04,0.00
UART_RECV,148,-0.01,0.06,0.02
UART_LOST,147
UART_RECV,149,-0.01,0.07,0.01
UART_RECV,150,-0.02,0.07,0.02
UART_RECV,151,-0.01,0.08,0.02
UART_RECV,152,-0.00,0.10,0.02
UART_RECV,153,0.01,0.10,0.00
UART_RECV,155,0.01,0.10,0.02
UART_LOST,154
UART_RECV,156,0.02,0.09,0.02
UART_RECV,157,0.02,0.08,0.02
UART_RECV,158,0.02,0.07,0.02
UART_RECV,159,0.02,0.06,0.02
UART_RECV,160,0.02,0.05,0.02
UART_RECV,161,0.02,0.04,0.02
UART_RECV,162,0.01,0.04,0.02
UART_RECV,163,0.01,0.02,0.02
UART_RECV,164,0.01,0.02,0.02
UART_RECV,165,0.01,0.01,0.00
UART_RECV,167,0.01,0.00,0.02
UART_LOST,166
UART_RECV,168,0.02,-0.00,0.02
UART_RECV,169,0.03,-0.01,0.02
UART_RECV,170,0.03,-0.01,0.01
UART_RECV,171,0.03,-0.01,0.01
UART_RECV,172,0.04,-0.02,0.01
UART_RECV,173,0.03,-0.02,0.02
UART_RECV,174,0.04,-0.01,0.02
UART_RECV,175,0.04,-0.01,0.01
UART_RECV,176,0.05,-0.01,0.01
UART_RECV,177,0.05,-0.01,0.00
UART_RECV,179,0.04,-0.02,0.02
UART_LOST,178
UART_RECV,180,0.04,-0.00,0.02
UART_RECV,181,0.03,0.01,0.02
UART_RECV,182,0.02,0.00,0.02
UART_ERR,invalid syntax for number
UART_RECV,185,0.03,-0.00,0.02
UART_LOST,183,184
UART_RECV,186,0.04,-0.01,0.02
UART_RECV,187,0.04,-0.02,0.02
UART_RECV,188,0.05,-0.02,0.02
UART_RECV,189,0.05,-0.02,0.02
UART_RECV,190,0.05,-0.02,0.03
UART_RECV,191,0.05,-0.03,0.00
UART_RECV,193,0.04,-0.04,0.03
UART_LOST,192
UART_RECV,194,0.03,-0.04,0.03
UART_RECV,195,0.03,-0.04,0.03
UART_RECV,196,0.02,-0.03,0.03
UART_RECV,197,0.02,-0.03,0.02
UART_RECV,198,0.02,-0.04,0.02
UART_RECV,199,0.01,-0.04,0.02
UART_RECV,200,0.00,-0.03,0.03
UART_RECV,201,0.00,-0.04,0.03
UART_RECV,202,-0.01,-0.04,0.03
UART_RECV,203,-0.01,-0.03,0.00
UART_ERR,invalid syntax for number
UART_RECV,206,0.01,-0.05,0.02
UART_LOST,204,205
UART_RECV,207,0.02,-0.05,0.02
UART_RECV,208,0.02,-0.04,0.02
UART_RECV,209,-0.00,-0.04,0.02
UART_RECV,210,-0.01,-0.03,0.02
UART_RECV,211,-0.00,-0.03,0.02
UART_RECV,212,-0.01,-0.04,0.02
UART_RECV,213,-0.00,-0.02,0.02
UART_RECV,214,-0.00,-0.02,0.02
UART_RECV,215,-0.02,-0.02,0.00
UART_ERR,invalid syntax for number
UART_RECV,218,-0.02,0.00,0.03
UART_LOST,216,217
UART_RECV,219,-0.02,0.00,0.03
UART_RECV,220,-0.02,-0.02,0.03
UART_RECV,221,-0.01,-0.04,0.03
UART_RECV,222,-0.02,-0.04,0.02
UART_RECV,223,-0.01,-0.04,0.03
UART_RECV,224,0.00,-0.05,0.03
UART_RECV,225,0.01,-0.05,0.03
UART_RECV,226,0.02,-0.06,0.02
UART_RECV,228,0.02,-0.06,0.02
UART_LOST,227
UART_RECV,229,0.02,-0.08,0.02
UART_RECV,230,0.01,-0.09,0.02
UART_RECV,231,0.03,-0.08,0.03
UART_RECV,232,0.02,-0.07,0.03
UART_RECV,233,0.03,-0.07,0.03
UART_RECV,234,0.03,-0.06,0.03
UART_RECV,235,0.01,-0.06,0.03
UART_RECV,236,0.02,-0.07,0.00
UART_ERR,invalid syntax for number
UART_RECV,239,0.00,-0.06,0.03
UART_LOST,237,238
UART_RECV,240,0.02,-0.05,0.03
UART_RECV,241,0.02,-0.06,0.03
UART_RECV,242,0.02,-0.05,0.03
UART_RECV,243,0.01,-0.06,0.03
UART_RECV,244,0.01,-0.07,0.03
UART_RECV,245,0.00,-0.05,0.03
UART_RECV,246,0.01,-0.05,0.03
UART_RECV,247,0.02,-0.04,0.03
UART_RECV,248,0.02,-0.04,0.00
UART_RECV,250,0.03,-0.04,0.03
UART_LOST,249
UART_RECV,251,0.02,-0.03,0.03
UART_RECV,252,0.02,-0.03,0.03
UART_RECV,253,0.02,-0.04,0.03
UART_RECV,254,0.02,-0.03,0.03
UART_RECV,255,0.02,-0.03,0.03
UART_RECV,256,0.03,-0.01,0.03
UART_RECV,257,0.04,-0.01,0.03
UART_RECV,258,0.04,-0.02,0.04
UART_RECV,259,0.03,-0.02,0.04
UART_RECV,260,0.03,-0.02,0.00
UART_ERR,invalid syntax for number
UART_RECV,263,0.04,-0.04,0.04
UART_LOST,261,262
UART_RECV,264,0.05,-0.04,0.04
UART_RECV,265,0.04,-0.04,0.04
UART_RECV,266,0.04,-0.04,0.04
UART_RECV,267,0.04,-0.03,0.04
UART_RECV,268,0.04,-0.03,0.00
UART_ERR,invalid syntax for number
UART_RECV,271,0.04,-0.03,0.05
UART_LOST,269,270
UART_RECV,272,0.04,-0.02,0.04
UART_RECV,273,0.03,-0.01,0.04
UART_RECV,274,0.03,-0.01,0.04
UART_RECV,275,0.02,-0.01,0.05
UART_RECV,277,0.01,-0.01,0.05
UART_LOST,276
UART_RECV,278,0.02,-0.01,0.05
UART_RECV,279,0.02,-0.00,0.05
UART_RECV,280,0.04,-0.00,0.05
UART_RECV,281,0.04,-0.01,0.05
UART_RECV,282,0.04,0.00,0.05
UART_RECV,283,0.03,-0.00,0.04
UART_RECV,284,0.05,-0.00,0.05
UART_RECV,285,0.04,-0.01,0.04
UART_RECV,286,0.05,0.00,0.00
UART_RECV,288,0.02,0.01,0.04
UART_LOST,287
UART_RECV,289,0.01,0.00,0.04
UART_RECV,290,0.01,0.02,0.04
UART_RECV,291,0.01,0.02,0.04
UART_RECV,292,-0.01,0.02,0.04
UART_RECV,293,-0.01,0.02,0.04
UART_RECV,294,-0.00,0.01,0.04
UART_RECV,295,-0.00,0.01,0.04
UART_RECV,296,0.00,0.02,0.04
UART_RECV,297,0.00,0.02,0.04
UART_RECV,298,-0.00,0.01,0.00
UART_RECV,300,-0.00,0.02,0.04
UART_LOST,299
UART_RECV,301,0.00,0.02,0.04
UART_RECV,302,0.01,0.03,0.05
UART_RECV,303,0.01,0.04,0.05
UART_RECV,304,0.01,0.03,0.05
UART_RECV,305,0.01,0.03,0.05
UART_RECV,306,0.02,0.02,0.05
UART_RECV,307,0.01,0.01,0.00
UART_RECV,309,0.02,0.02,0.05
UART_LOST,308
UART_RECV,310,0.02,0.03,0.04
UART_RECV,311,0.01,0.02,0.05
UART_RECV,312,0.01,0.02,0.05
UART_RECV,313,0.01,-0.00,0.05
UART_RECV,314,0.01,-0.00,0.05
UART_RECV,315,0.01,-0.01,0.05
UART_RECV,316,0.01,-0.01,0.05
UART_RECV,317,0.00,-0.02,0.05
UART_RECV,318,0.01,-0.01,0.05
UART_RECV,319,0.00,-0.00,0.00
UART_RECV,321,0.01,-0.02,0.05
UART_LOST,320
UART_RECV,322,0.01,-0.01,0.05
UART_RECV,323,0.02,-0.00,0.05
UART_RECV,324,0.01,-0.02,0.05
UART_RECV,325,0.00,-0.03,0.05
UART_RECV,326,0.01,-0.03,0.05
UART_RECV,327,0.01,-0.03,0.05
UART_RECV,328,0.01,-0.02,0.05
UART_RECV,329,0.00,-0.03,0.05
UART_RECV,330,0.01,-0.02,0.00
UART_RECV,332,0.02,-0.01,0.05
UART_LOST,331
UART_RECV,333,0.01,-0.01,0.05
UART_RECV,334,0.00,-0.01,0.05
UART_RECV,335,-0.00,-0.02,0.04
UART_RECV,336,0.01,-0.01,0.04
UART_RECV,337,-0.00,-0.02,0.04
UART_RECV,338,-0.00,-0.01,0.05
UART_RECV,339,0.00,-0.01,0.04
UART_RECV,340,0.01,-0.01,0.04
UART_RECV,341,0.01,-0.02,0.04
UART_RECV,342,0.00,-0.03,0.00
UART_RECV,344,0.00,-0.04,0.05
UART_LOST,343
UART_RECV,345,0.00,-0.03,0.04
UART_RECV,346,0.01,-0.03,0.04
UART_RECV,347,0.00,-0.03,0.04
UART_RECV,348,0.01,-0.03,0.04
UART_RECV,349,0.03,-0.03,0.04
UART_RECV,350,0.04,-0.03,0.05
UART_RECV,351,0.03,-0.03,0.04
UART_RECV,352,0.03,-0.02,0.00
UART_RECV,354,0.02,-0.02,0.04
UART_LOST,353
UART_RECV,355,0.03,-0.02,0.04
UART_RECV,356,0.02,-0.01,0.04
UART_RECV,357,0.01,-0.01,0.04
UART_RECV,358,0.01,-0.01,0.04
UART_RECV,359,-0.00,-0.01,0.04
UART_RECV,360,-0.01,-0.02,0.04
UART_RECV,361,-0.00,-0.00,0.05
UART_RECV,362,0.00,-0.01,0.05
UART_RECV,363,-0.01,-0.01,0.05
UART_RECV,364,-0.03,-0.01,0.00
UART_ERR,invalid syntax for number
UART_RECV,367,-0.03,-0.03,0.05
UART_LOST,365,366
UART_RECV,368,-0.04,-0.04,0.05
UART_RECV,369,-0.04,-0.04,0.05
UART_RECV,370,-0.04,-0.03,0.00
UART_RECV,372,-0.04,-0.03,0.05
UART_LOST,371
UART_RECV,373,-0.03,-0.02,0.05
UART_RECV,374,-0.03,-0.02,0.05
UART_RECV,375,-0.03,-0.02,0.05
UART_RECV,376,-0.04,-0.02,0.05
UART_RECV,377,-0.05,-0.03,0.05
UART_RECV,378,-0.06,-0.03,0.05
UART_RECV,379,-0.06,-0.03,0.05
UART_RECV,380,-0.04,-0.02,0.05
UART_RECV,381,-0.05,-0.02,0.05
UART_RECV,382,-0.04,-0.02,0.05
UART_RECV,383,-0.04,-0.02,0.00
UART_RECV,385,-0.03,-0.02,0.04
UART_LOST,384
UART_RECV,386,-0.03,-0.02,0.05
UART_RECV,387,-0.03,-0.03,0.04
UART_RECV,388,-0.03,-0.03,0.04
UART_RECV,389,-0.04,-0.03,0.04
UART_RECV,390,-0.05,-0.03,0.04
UART_RECV,391,-0.04,-0.03,0.04
UART_RECV,392,-0.04,-0.04,0.05
UART_RECV,393,-0.04,-0.04,0.00
UART_RECV,395,-0.03,-0.05,0.05
UART_LOST,394
UART_RECV,396,-0.06,-0.04,0.05
UART_RECV,397,-0.04,-0.04,0.05
UART_RECV,398,-0.05,-0.03,0.05
UART_RECV,399,-0.04,-0.02,0.05
UART_RECV,400,-0.05,-0.02,0.05
UART_RECV,401,-0.04,-0.01,0.05
UART_RECV,402,-0.04,0.00,0.05
UART_RECV,403,-0.02,-0.00,0.05
UART_RECV,404,-0.01,-0.01,0.05
UART_RECV,405,0.00,-0.01,0.05
UART_RECV,406,0.00,-0.01,0.00
UART_RECV,408,0.00,-0.03,0.06
UART_LOST,407
UART_RECV,409,0.02,-0.02,0.06
UART_RECV,410,0.04,-0.01,0.06
UART_RECV,411,0.04,-0.00,0.06
UART_RECV,412,0.04,0.01,0.06
UART_RECV,413,0.04,0.01,0.06
UART_RECV,414,0.04,-0.01,0.06
UART_RECV,415,0.03,-0.02,0.06
UART_RECV,416,0.03,-0.02,0.06
UART_RECV,417,0.01,-0.02,0.06
UART_RECV,418,0.00,-0.01,0.00
UART_RECV,420,0.00,-0.00,0.06
UART_LOST,419
UART_RECV,421,0.00,-0.00,0.06
UART_RECV,422,0.01,-0.01,0.06
UART_RECV,423,-0.00,-0.01,0.06
UART_RECV,424,0.00,0.00,0.06
UART_RECV,425,-0.00,0.01,0.06
UART_RECV,426,-0.01,-0.01,0.06
UART_RECV,427,0.01,0.00,0.00
UART_RECV,429,0.00,0.01,0.05
UART_LOST,428
UART_RECV,430,-0.03,0.00,0.05
UART_RECV,431,-0.04,0.01,0.06
UART_RECV,432,-0.03,0.00,0.06
UART_RECV,433,-0.03,-0.01,0.05
UART_RECV,434,-0.03,-0.02,0.06
UART_RECV,435,-0.02,-0.02,0.05
UART_RECV,436,-0.03,-0.02,0.06
UART_RECV,437,-0.04,-0.03,0.06
UART_RECV,438,-0.03,-0.03,0.06
UART_RECV,439,-0.04,-0.03,0.00
UART_ERR,invalid syntax for number
UART_RECV,442,-0.02,-0.02,0.06
UART_LOST,440,441
UART_RECV,443,-0.03,-0.03,0.06
UART_RECV,444,-0.02,-0.02,0.06
UART_RECV,445,-0.02,-0.02,0.05
UART_RECV,446,-0.02,-0.02,0.06
UART_RECV,447,-0.02,-0.02,0.06
UART_RECV,448,-0.02,-0.01,0.06
UART_RECV,449,-0.02,-0.02,0.06
UART_RECV,450,-0.02,-0.02,0.07
UART_RECV,451,-0.01,-0.03,0.07
UART_ERR,invalid syntax for number
UART_RECV,454,0.00,-0.00,0.07
UART_LOST,452,453
UART_RECV,455,-0.01,0.00,0.07
UART_RECV,456,0.00,-0.01,0.06
UART_RECV,457,0.01,-0.01,0.07
UART_RECV,458,-0.00,-0.00,0.07
UART_RECV,459,-0.01,-0.01,0.07
UART_RECV,460,-0.01,-0.01,0.07
UART_RECV,461,-0.01,-0.02,0.07
UART_RECV,462,0.00,-0.03,0.06
UART_RECV,463,0.01,-0.03,0.07
UART_RECV,464,0.01,-0.02,0.07
UART_RECV,465,0.02,-0.03,0.07
UART_RECV,466,0.02,-0.03,0.07
UART_RECV,467,0.02,-0.04,0.07
UART_RECV,468,0.00,-0.03,0.07
UART_RECV,469,0.00,-0.02,0.00
UART_RECV,471,0.01,-0.02,0.07
UART_LOST,470
UART_RECV,472,0.02,-0.02,0.07
UART_RECV,473,0.03,-0.02,0.07
UART_RECV,474,0.02,-0.01,0.07
UART_RECV,475,0.03,-0.00,0.07
UART_RECV,476,0.03,-0.01,0.07
UART_RECV,477,0.03,0.00,0.07
UART_RECV,478,0.03,-0.00,0.07
UART_RECV,479,0.01,0.00,0.07
UART_RECV,480,0.02,0.01,0.07
UART_RECV,481,0.03,0.01,0.07
UART_ERR,invalid syntax for number
UART_RECV,484,0.03,-0.03,0.07
UART_LOST,482,483
UART_RECV,485,0.03,-0.03,0.07
UART_RECV,486,0.02,-0.03,0.07
UART_RECV,487,0.02,-0.03,0.07
UART_RECV,488,0.03,-0.01,0.07
UART_RECV,489,0.04,-0.01,0.07
UART_RECV,490,0.04,-0.03,0.07
UART_RECV,491,0.04,-0.02,0.07
UART_RECV,492,0.04,-0.04,0.08
UART_RECV,493,0.03,-0.03,0.00
UART_RECV,495,0.03,-0.04,0.07
UART_LOST,494
UART_RECV,496,0.03,-0.04,0.08
UART_RECV,497,0.03,-0.03,0.07
UART_RECV,498,0.03,-0.04,0.08
UART_RECV,499,0.05,-0.04,0.08
UART_RECV,500,0.05,-0.04,0.08
UART_RECV,501,0.05,-0.03,0.07
UART_RECV,502,0.04,-0.04,0.07
UART_RECV,503,0.03,-0.03,0.07
UART_RECV,504,0.03,-0.01,0.08
UART_RECV,505,0.01,-0.01,0.00
UART_ERR,invalid syntax for number
UART_RECV,507,0.01,0.00,0.08
UART_LOST,506
UART_RECV,508,0.01,-0.01,0.07
UART_RECV,509,0.00,-0.01,0.07
UART_RECV,510,0.01,-0.02,0.07
UART_RECV,511,0.03,-0.02,0.08
UART_RECV,512,0.02,-0.01,0.07
UART_RECV,513,0.03,-0.02,0.07
UART_RECV,514,0.03,0.00,0.07
UART_RECV,515,0.03,0.01,0.08
UART_RECV,516,0.02,-0.01,0.07
UART_RECV,517,0.01,0.00,0.08
UART_RECV,518,0.00,0.01,0.00
UART_RECV,520,-0.02,0.02,0.08
UART_LOST,519
UART_RECV,521,-0.01,0.02,0.08
UART_RECV,522,-0.01,0.02,0.08
UART_RECV,523,-0.01,0.02,0.08
UART_RECV,524,-0.01,0.01,0.08
UART_RECV,525,-0.00,0.02,0.08
UART_RECV,526,-0.01,0.02,0.08
UART_RECV,527,-0.00,0.03,0.08
UART_RECV,528,0.00,0.03,0.08
UART_RECV,529,-0.01,0.01,0.08
UART_RECV,530,-0.01,-0.00,0.00
UART_ERR,invalid syntax for number
UART_RECV,533,-0.04,0.01,0.09
UART_LOST,531,532
UART_RECV,534,-0.05,0.02,0.09
UART_RECV,535,-0.04,0.01,0.09
UART_RECV,536,-0.03,0.02,0.09
UART_RECV,537,-0.03,0.03,0.09
UART_RECV,538,-0.03,0.01,0.09
UART_RECV,539,-0.04,0.00,0.09
UART_RECV,540,-0.05,0.00,0.09
UART_RECV,541,-0.04,-0.01,0.09
UART_RECV,542,-0.04,-0.02,0.00
UART_RECV,544,-0.02,-0.03,0.09
UART_LOST,543
UART_RECV,545,-0.01,-0.04,0.09
UART_RECV,546,-0.00,-0.04,0.10
UART_RECV,547,-0.01,-0.03,0.09
UART_RECV,548,-0.00,-0.03,0.10
UART_RECV,549,0.00,-0.03,0.10
UART_RECV,550,0.00,-0.03,0.10
UART_RECV,551,0.02,-0.03,0.10
UART_RECV,552,0.02,-0.03,0.00
UART_RECV,553,0.00,-0.02,0.10
UART_RECV,554,0.01,-0.02,0.10
UART_RECV,555,0.01,-0.03,0.10
UART_RECV,556,0.01,-0.03,0.11
UART_RECV,557,0.01,-0.03,0.11
UART_RECV,558,0.02,-0.02,0.11
UART_RECV,559,0.03,-0.04,0.11
UART_RECV,560,0.03,-0.04,0.11
UART_RECV,561,0.02,-0.05,0.10
UART_ERR,invalid syntax for number
UART_RECV,564,0.04,-0.07,0.10
UART_LOST,562,563
UART_RECV,565,0.03,-0.07,0.11
UART_RECV,566,0.04,-0.07,0.10
UART_RECV,567,0.03,-0.05,0.10
UART_RECV,568,0.04,-0.05,0.10
UART_RECV,569,0.03,-0.05,0.10
UART_RECV,570,0.03,-0.04,0.10
UART_RECV,571,0.03,-0.03,0.10
UART_RECV,572,0.03,-0.03,0.10
UART_RECV,573,0.01,-0.02,0.00
UART_RECV,575,-0.01,-0.03,0.10
UART_LOST,574
UART_RECV,576,-0.00,-0.04,0.10
UART_RECV,577,-0.00,-0.03,0.10
UART_RECV,578,-0.00,-0.03,0.10
UART_RECV,579,-0.00,-0.04,0.10
UART_RECV,580,-0.01,-0.05,0.10
UART_RECV,581,-0.01,-0.05,0.10
UART_RECV,582,-0.01,-0.05,0.10
UART_RECV,583,0.01,-0.05,0.10
UART_RECV,584,0.02,-0.05,0.10
UART_RECV,585,0.02,-0.04,0.10
UART_RECV,586,0.02,-0.04,0.00
UART_RECV,588,0.02,-0.03,0.10
UART_LOST,587
UART_RECV,589,0.02,-0.03,0.09
UART_RECV,590,0.01,-0.03,0.10
UART_RECV,591,0.01,-0.03,0.10
UART_RECV,592,0.02,-0.03,0.10
UART_RECV,593,0.01,-0.03,0.00
UART_RECV,595,0.01,-0.04,0.09
UART_LOST,594
UART_RECV,596,0.00,-0.04,0.10
UART_RECV,597,-0.02,-0.04,0.09
UART_RECV,598,-0.02,-0.05,0.09
UART_RECV,599,-0.02,-0.03,0.09
UART_RECV,600,-0.02,-0.03,0.09
UART_RECV,601,-0.02,-0.03,0.09
UART_RECV,602,-0.02,-0.03,0.09
UART_RECV,603,-0.02,-0.03,0.09
UART_RECV,604,-0.02,-0.03,0.09
UART_RECV,605,-0.02,-0.02,0.00
UART_ERR,invalid syntax for number
UART_RECV,608,-0.03,-0.04,0.09
UART_LOST,606,607
UART_RECV,609,-0.03,-0.04,0.09
UART_RECV,610,-0.03,-0.03,0.09
UART_RECV,611,-0.03,-0.03,0.09
